placebo_id,ano_placebo,setor,janela,car,n_dias
0,2011,Bens Industriais,placebo_antecip,0.015490175498993081,45
0,2011,Bens Industriais,placebo_reacao,-0.030355798825212273,11
0,2011,Comunicações,placebo_antecip,0.07065508046307847,45
0,2011,Comunicações,placebo_reacao,-0.037227224593360614,11
0,2011,Construção e Transporte,placebo_antecip,-0.05247945530939425,45
0,2011,Construção e Transporte,placebo_reacao,-0.0037850226945603067,11
0,2011,Consumo Cíclico,placebo_antecip,-0.09170703525997641,45
0,2011,Consumo Cíclico,placebo_reacao,-0.030536500862047473,11
0,2011,Consumo Não Cíclico,placebo_antecip,-0.007165454944145584,45
0,2011,Consumo Não Cíclico,placebo_reacao,-0.019690903063535815,11
0,2011,Financeiro,placebo_antecip,0.017454639788607784,45
0,2011,Financeiro,placebo_reacao,0.0024509492297946547,11
0,2011,Materiais Básicos,placebo_antecip,-0.03610777012331152,45
0,2011,Materiais Básicos,placebo_reacao,-0.02071359808586678,11
0,2011,Outros,placebo_antecip,-0.002472752754438007,45
0,2011,Outros,placebo_reacao,-0.02794408588696588,11
0,2011,Saúde,placebo_antecip,-0.07415178030725861,45
0,2011,Saúde,placebo_reacao,-0.04797550923020747,11
0,2011,Utilidade Pública,placebo_antecip,-0.02350210793968245,45
0,2011,Utilidade Pública,placebo_reacao,-0.0024131781910245345,11
1,2007,Bens Industriais,placebo_antecip,-0.03962024057719237,45
1,2007,Bens Industriais,placebo_reacao,0.02614695773989832,11
1,2007,Comunicações,placebo_antecip,-0.07580363320204966,45
1,2007,Comunicações,placebo_reacao,-0.011890364283744938,11
1,2007,Construção e Transporte,placebo_antecip,-0.06403444908338735,45
1,2007,Construção e Transporte,placebo_reacao,-0.04368186441545326,11
1,2007,Consumo Cíclico,placebo_antecip,-0.0927969882014595,45
1,2007,Consumo Cíclico,placebo_reacao,0.020267229661367812,11
1,2007,Consumo Não Cíclico,placebo_antecip,-0.03392271804099616,45
1,2007,Consumo Não Cíclico,placebo_reacao,0.005438657810539961,11
1,2007,Financeiro,placebo_antecip,-0.13592264643715457,45
